Table Name,State Code,District Code,Area Name,Total/ Rural/Urban,Present Age,Total Women,Total Ever Married Women,Total Ever Married Women - Parity - 0,Total Ever Married Women - Parity - 1,Total Ever Married Women - Parity - 2,Total Ever Married Women - Parity - 3,Total Ever Married Women - Parity - 4,Total Ever Married Women - Parity - 5,Total Ever Married Women - Parity - 6,Total Ever Married Women - Parity - 7+,Total Children Ever Born - Persons,Total Children Ever Born - Male,Total Children Ever Born - Female
F01ST33,33,000,State - TAMIL NADU,Total,All Ages,393629,242993,42391,38480,65837,47700,25402,12179,5738,5266,551802,291903,259899
F01ST33,33,000,State - TAMIL NADU,Total,Less than 15,113911,881,670,78,133,0,0,0,0,0,344,176,168
F01ST33,33,000,State - TAMIL NADU,Total,15-19,34442,8927,6204,1920,568,128,107,0,0,0,3868,1986,1882
F01ST33,33,000,State - TAMIL NADU,Total,20-24,37618,29985,10223,9398,7672,2068,431,86,28,79,33873,17902,15971
F01ST33,33,000,State - TAMIL NADU,Total,25-29,38784,36651,5852,6653,13869,7388,2111,502,129,147,69509,36217,33292
F01ST33,33,000,State - TAMIL NADU,Total,30-34,29561,28813,3182,3388,10092,7605,3003,985,328,230,67108,35088,32020
F01ST33,33,000,State - TAMIL NADU,Total,35-39,31882,31498,3070,3665,9560,8351,4239,1612,608,393,79556,41987,37569
F01ST33,33,000,State - TAMIL NADU,Total,40-44,25083,24827,2447,3040,7021,6029,3455,1589,724,522,65385,35164,30221
F01ST33,33,000,State - TAMIL NADU,Total,45-49,23663,23493,2422,3061,5966,5527,3381,1752,752,632,63320,34047,29273
F01ST33,33,000,State - TAMIL NADU,Total,50-54,16720,16592,2027,2156,3815,3548,2499,1306,679,562,45438,24366,21072
F01ST33,33,000,State - TAMIL NADU,Total,55-59,13438,13342,1711,1699,2637,2663,2073,1281,673,605,38426,20360,18066
F01ST33,33,000,State - TAMIL NADU,Total,60-64,11565,11438,1844,1423,2004,1926,1670,1237,666,668,33351,17610,15741
F01ST33,33,000,State - TAMIL NADU,Total,65-69,7303,7218,1039,864,1175,1143,1052,851,504,590,22822,11986,10836
F01ST33,33,000,State - TAMIL NADU,Total,70-74,4995,4939,838,578,713,731,765,536,352,426,15450,8099,7351
F01ST33,33,000,State - TAMIL NADU,Total,75-79,1938,1924,342,227,269,281,289,208,135,173,6023,3107,2916
F01ST33,33,000,State - TAMIL NADU,Total,80+,2407,2334,473,306,317,299,320,226,158,235,7103,3682,3421
F01ST33,33,000,State - TAMIL NADU,Rural,All Ages,327102,202906,35251,31769,53743,40615,21840,10452,4903,4333,464350,245749,218601
F01ST33,33,000,State - TAMIL NADU,Rural,Less than 15,95187,694,526,66,102,0,0,0,0,0,270,133,137
F01ST33,33,000,State - TAMIL NADU,Rural,15-19,28262,7560,5257,1631,475,104,93,0,0,0,3265,1687,1578
F01ST33,33,000,State - TAMIL NADU,Rural,20-24,30928,25287,8621,7994,6426,1735,351,71,24,65,28453,15011,13442
F01ST33,33,000,State - TAMIL NADU,Rural,25-29,31906,30373,4733,5353,11482,6382,1778,414,105,126,58336,30412,27924
F01ST33,33,000,State - TAMIL NADU,Rural,30-34,24382,23826,2569,2685,8058,6589,2617,848,264,196,56409,29421,26988
F01ST33,33,000,State - TAMIL NADU,Rural,35-39,26535,26231,2512,3003,7642,7160,3696,1370,533,315,67043,35469,31574
F01ST33,33,000,State - TAMIL NADU,Rural,40-44,20951,20744,2011,2487,5692,5118,3029,1372,611,424,55188,29691,25497
F01ST33,33,000,State - TAMIL NADU,Rural,45-49,19821,19683,2039,2541,4868,4640,2907,1521,638,529,53403,28722,24681
F01ST33,33,000,State - TAMIL NADU,Rural,50-54,13841,13741,1667,1763,3046,2962,2110,1124,595,474,38089,20438,17651
F01ST33,33,000,State - TAMIL NADU,Rural,55-59,11234,11163,1443,1399,2186,2217,1743,1104,579,492,32239,17098,15141
F01ST33,33,000,State - TAMIL NADU,Rural,60-64,9806,9703,1580,1182,1649,1637,1444,1084,565,562,28413,15039,13374
F01ST33,33,000,State - TAMIL NADU,Rural,65-69,6239,6165,883,723,1011,969,910,731,445,493,19531,10234,9297
F01ST33,33,000,State - TAMIL NADU,Rural,70-74,4200,4160,708,495,594,615,645,457,302,344,12938,6797,6141
F01ST33,33,000,State - TAMIL NADU,Rural,75-79,1585,1574,274,190,230,230,242,169,111,128,4849,2520,2329
F01ST33,33,000,State - TAMIL NADU,Rural,80+,1958,1898,392,236,260,247,270,183,129,181,5746,2976,2770
F01ST33,33,000,State - TAMIL NADU,Urban,All Ages,66527,40087,7140,6711,12094,7085,3562,1727,835,933,87452,46154,41298
F01ST33,33,000,State - TAMIL NADU,Urban,Less than 15,18724,187,144,12,31,0,0,0,0,0,74,43,31
F01ST33,33,000,State - TAMIL NADU,Urban,15-19,6180,1367,947,289,93,24,14,0,0,0,603,299,304
F01ST33,33,000,State - TAMIL NADU,Urban,20-24,6690,4698,1602,1404,1246,333,80,15,4,14,5420,2891,2529
F01ST33,33,000,State - TAMIL NADU,Urban,25-29,6878,6278,1119,1300,2387,1006,333,88,24,21,11173,5805,5368
F01ST33,33,000,State - TAMIL NADU,Urban,30-34,5179,4987,613,703,2034,1016,386,137,64,34,10699,5667,5032
F01ST33,33,000,State - TAMIL NADU,Urban,35-39,5347,5267,558,662,1918,1191,543,242,75,78,12513,6518,5995
F01ST33,33,000,State - TAMIL NADU,Urban,40-44,4132,4083,436,553,1329,911,426,217,113,98,10197,5473,4724
F01ST33,33,000,State - TAMIL NADU,Urban,45-49,3842,3810,383,520,1098,887,474,231,114,103,9917,5325,4592
F01ST33,33,000,State - TAMIL NADU,Urban,50-54,2879,2851,360,393,769,586,389,182,84,88,7349,3928,3421
F01ST33,33,000,State - TAMIL NADU,Urban,55-59,2204,2179,268,300,451,446,330,177,94,113,6187,3262,2925
F01ST33,33,000,State - TAMIL NADU,Urban,60-64,1759,1735,264,241,355,289,226,153,101,106,4938,2571,2367
F01ST33,33,000,State - TAMIL NADU,Urban,65-69,1064,1053,156,141,164,174,142,120,59,97,3291,1752,1539
F01ST33,33,000,State - TAMIL NADU,Urban,70-74,795,779,130,83,119,116,120,79,50,82,2512,1302,1210
F01ST33,33,000,State - TAMIL NADU,Urban,75-79,353,350,68,37,39,51,47,39,24,45,1174,587,587
F01ST33,33,000,State - TAMIL NADU,Urban,80+,449,436,81,70,57,52,50,43,29,54,1357,706,651
F01ST33,33,602,District - Thiruvallur,Total,All Ages,23551,14494,2862,2310,4214,2640,1344,585,286,253,30687,16392,14295
F01ST33,33,602,District - Thiruvallur,Total,Less than 15,7124,65,48,6,11,0,0,0,0,0,28,19,9
F01ST33,33,602,District - Thiruvallur,Total,15-19,1952,595,394,129,55,11,6,0,0,0,296,148,148
F01ST33,33,602,District - Thiruvallur,Total,20-24,2447,2006,601,553,619,173,38,9,4,9,2599,1379,1220
F01ST33,33,602,District - Thiruvallur,Total,25-29,2480,2369,396,407,958,429,136,29,6,8,4400,2362,2038
F01ST33,33,602,District - Thiruvallur,Total,30-34,1836,1800,256,188,677,446,155,54,15,9,3937,2080,1857
F01ST33,33,602,District - Thiruvallur,Total,35-39,1936,1921,229,217,629,473,221,79,47,26,4663,2523,2140
F01ST33,33,602,District - Thiruvallur,Total,40-44,1398,1396,188,203,368,308,179,82,43,25,3438,1869,1569
F01ST33,33,602,District - Thiruvallur,Total,45-49,1315,1310,212,172,296,291,180,84,42,33,3286,1732,1554
F01ST33,33,602,District - Thiruvallur,Total,50-54,909,906,142,122,224,173,127,56,33,29,2299,1247,1052
F01ST33,33,602,District - Thiruvallur,Total,55-59,701,695,114,101,135,132,111,62,19,21,1803,944,859
F01ST33,33,602,District - Thiruvallur,Total,60-64,606,601,98,94,123,87,91,42,32,34,1639,834,805
F01ST33,33,602,District - Thiruvallur,Total,65-69,388,384,83,57,47,52,48,46,22,29,1096,600,496
F01ST33,33,602,District - Thiruvallur,Total,70-74,243,240,52,30,35,33,30,30,11,19,696,389,307
F01ST33,33,602,District - Thiruvallur,Total,75-79,88,87,15,12,18,17,13,4,4,4,229,113,116
F01ST33,33,602,District - Thiruvallur,Total,80+,114,110,29,18,18,14,9,7,8,7,267,146,121
F01ST33,33,602,District - Thiruvallur,Rural,All Ages,17523,10727,2126,1675,3022,2003,1022,453,229,197,23014,12217,10797
F01ST33,33,602,District - Thiruvallur,Rural,Less than 15,5481,43,37,4,2,0,0,0,0,0,8,6,2
F01ST33,33,602,District - Thiruvallur,Rural,15-19,1427,445,292,96,42,10,5,0,0,0,230,116,114
F01ST33,33,602,District - Thiruvallur,Rural,20-24,1778,1512,449,410,472,135,28,8,3,7,1983,1046,937
F01ST33,33,602,District - Thiruvallur,Rural,25-29,1814,1756,282,280,709,339,109,24,6,7,3365,1795,1570
F01ST33,33,602,District - Thiruvallur,Rural,30-34,1367,1342,179,129,487,368,119,41,12,7,3020,1589,1431
F01ST33,33,602,District - Thiruvallur,Rural,35-39,1441,1437,167,171,433,360,178,62,46,20,3578,1928,1650
F01ST33,33,602,District - Thiruvallur,Rural,40-44,1028,1028,143,151,253,220,137,69,33,22,2576,1375,1201
F01ST33,33,602,District - Thiruvallur,Rural,45-49,960,958,167,124,203,210,129,66,29,30,2411,1263,1148
F01ST33,33,602,District - Thiruvallur,Rural,50-54,635,633,98,90,152,117,85,39,28,24,1633,888,745
F01ST33,33,602,District - Thiruvallur,Rural,55-59,534,530,94,68,105,94,85,49,16,19,1394,724,670
